airport_id,airport_name,iata,betweenness
5694,Malindi Airport,MYD,7103.64563937736
6345,Baita International Airport,HET,7060.995072798187
3919,Sultan Aji Muhamad Sulaiman Airport,BPN,7013.473423180236
2254,Chuuk International Airport,TKK,6906.566295798145
6505,Phoenix-Mesa-Gateway Airport,AZA,6827.870166456285
2759,Jorge Wilsterman International Airport,CBB,6651.750813389561
6347,Shijiazhuang Daguocun International Airport,SJW,6583.039040061902
6309,Normanton Airport,NTN,6573.35576229825
3408,Sultan Abdul Aziz Shah International Airport,SZB,6558.363395067678
4097,Lhasa Gonggar Airport,LXA,6558.222694591399
3136,Cochin International Airport,COK,6555.4204237701415
1626,Faro Airport,FAO,6542.460233242123
994,Seychelles International Airport,SEZ,6499.755239150066
897,Douala International Airport,DLA,6498.612194912289
3903,Hang Nadim International Airport,BTH,6488.669524484974
90,Fort McMurray Airport,YMM,6487.714500083705
1804,Don Miguel Hidalgo Y Costilla International Airport,GDL,6481.159014232753
2538,Campo Grande Airport,CGR,6468.680744163543
488,Cardiff International Airport,CWL,6460.436161555183
1628,Horta Airport,HOR,6446.545153264571
6086,Ust-Kamennogorsk Airport,UKK,6446.235077993464
5761,Pierre Regional Airport,PIR,6443.672992442162
3153,Trivandrum International Airport,TRV,6440.955437601344
886,Pointe Noire Airport,PNR,6436.958035213271
4124,Page Municipal Airport,PGA,6425.796735970671
3442,Grand Forks International Airport,GFK,6419.351621510139
9540,Deer Harbor Seaplane,DHB,6417.999999999999
6111,Cherepovets Airport,CEE,6413.346648181067
921,Toamasina Airport,TMM,6405.124015697714
520,Isle of Man Airport,IOM,6401.482369752647
7368,Gurupi Airport,GRP,6399.9999999999945
7532,Carajás Airport,CKS,6397.358269260671
3265,Marudi Airport,MUR,6397.000000000002
6267,Flinders Island Airport,FLS,6396.0
1323,Figari Sud-Corse Airport,FSC,6394.841230043198
2665,El Tepual Airport,PMC,6394.657142857144
234,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,6394.649999999999
2756,Vanguardia Airport,VVC,6393.4000000000015
6137,Salekhard Airport,SLY,6393.109792173512
1035,Bukavu Kavumu Airport,BKY,6393.0
2749,Gustavo Rojas Pinilla International Airport,ADZ,6392.5303030303
3974,Mukalla International Airport,RIY,6392.191678132369
7209,Scammon Bay Airport,SCM,6392.000000000011
7168,Kitoi Bay Seaplane Base,KKB,6392.0
8240,Redenção Airport,RDC,6392.0
7275,Denny Island Airport,nan,6391.833333333334
3447,Trenton Mercer Airport,TTN,6391.363409240309
5773,Tupelo Regional Airport,TUP,6391.000000000009
7206,Quinhagak Airport,KWN,6391.0000000000055
3804,Cheyenne Regional Jerry Olson Field,CYS,6391.0000000000055
6169,Koggala Airport,KCT,6391.000000000005
9229,Sigiriya Air Force Base,GIU,6391.000000000005
4279,San Pedro Airport,SPR,6391.000000000004
6794,Taree Airport,TRO,6391.000000000004
5446,Qaanaaq Airport,NAQ,6391.000000000004
5449,Qaarsut Airport,JQA,6391.000000000004
5439,Neerlerit Inaat Airport,CNP,6391.000000000004
7252,Postville Airport,YSO,6391.000000000003
1118,Mekele Airport,MQX,6391.000000000002
5686,Bosaso Airport,BSA,6391.000000000002
6276,Julia Creek Airport,JCK,6391.000000000002
63,Gaspé (Michel-Pouliot) Airport,YGP,6391.000000000002
7417,Wilwal International Airport,JIJ,6391.000000000002
729,Vilhelmina Airport,VHM,6391.000000000001
2404,Zamboanga International Airport,ZAM,6391.000000000001
719,Lycksele Airport,LYC,6391.000000000001
7114,Venetie Airport,VEE,6391.0
3223,Myeik Airport,MGZ,6391.0
3224,Myitkyina Airport,MYT,6391.0
3353,Christmas Island Airport,XCH,6391.0
4347,St. Mary's Airport,ISC,6391.0
1968,Hihifo Airport,WLS,6391.0
5807,JAGS McCartney International Airport,GDT,6391.0
1136,Aswan International Airport,ASW,6391.0
